direction,方,"""This radical looks like a dude running off to the right. He's heading in a very distinct <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">direction</span>. Which direction was it again?""",,239,level3 radical
door,戸,"""Where does a flag usually go? It goes over a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">door</span>. I know the <span lang=""""ja"""">一</span> radical usually means ground, but in this case we're going to say the flag is in the doorway (where the <span lang=""""ja"""">一</span> is the top of the door).""",,240,level3 radical
dry,干,"""You have two on a stick. Two what? Well, you can't tell because they're too <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">dry</span>. Someone put two somethings on this stick to dry, but they seem to have left them out for way too long. Was it meat? Fish? Cucumbers? You have no clue, but they're two very dry somethings, that's for sure.""",,241,level3 radical
father,父,"""There are fins covering the treasure making up this radical. You pull away the fins and start digging where the X is (because """"X"""" marks where the treasure is, right?). When you dig down, instead of finding treasure, you find your <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">father</span>. The shock of this in your imagination should help you to remember the meaning of this radical!""",,242,level3 radical
fingers,扌,"""This looks like the hand (<span lang=""""ja"""">手</span>) radical, but smaller. That's because it's just the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">fingers</span>. You don't always have room for a whole hand to be in a kanji, but there's always space for a few fingers.""",,243,level3 radical
fur,毛,"""Do you remember the hair radical? This is like that, except now the hair is attached to a tail. Animals don't usually have hair, though. Instead, they have <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">fur</span>.""",,244,level3 radical
hat,,"""Do you know those rice paddy hats? The ones shaped just like this radical? That's why this radical is a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">hat</span>.""","""<i class=""""radical-hat""""></i>""",245,level3 radical
heart,心,"""Take a good look at this one. It kind of looks like a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">heart</span> (not the stereotypical Valentine’s Day heart, though). Think of a real heart. Basically, there’s a lump (the heart) in the middle, and three lines which make up the arteries that go in and out of the heart to keep you alive. This radical shows up a lot, so it shouldn’t be too hard to learn it as you go along. Remember, lump (heart) plus arteries equals a heart… like, a real heart, not the fake, pretty kind.""",,246,level3 radical
life,生,"""This radical consists of a cow radical with the ground radical below it. If you have cows on solid ground, then you really do have a good <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">life</span>, I think. Sometimes this radical will show up without the slide part on the side too, though we'll treat them both as """"life.""""""",,247,level3 radical
now,今,"""This is a hat on top of the katakana for """"ra."""" Think of Ra, the Egyptian god. When is Ra wearing a hat? Right <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">now</span>! It's always now, because he never takes it off. No really, look it up, it's true.""",,248,level3 radical
old,古,"""You have a cross on a mouth—that's a pretty religious mouth. Who speaks the most about religion? <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">Old</span> people, mostly. Also, think about the teachings of religion itself - also pretty old, age-wise. No matter how you look at it, everything about this radical is kind of """"old.""""""",,249,level3 radical
origin,元,"""You have two and legs making up this radical. Between two legs is where you came from, no matter how you look at it. These two legs are your <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">origin</span>.""",,250,level3 radical
