REFOLD_INDEX,WORD,READING,DEFINITION,WORD AUDIO
311,当たり前,あたりまえ,"of course, obvious, commonplace, the norm",[sound:JP1K_311_tariatarimae_word.mp3]
312,過ぎる,すぎる,"to exceed, to surpass",[sound:JP1K_312_sugiru_word.mp3]
313,太る,ふとる,to fatten,[sound:JP1K_313_futoru_word.mp3]
314,世話,せわ,care (for),[sound:JP1K_314_sewa_word.mp3]
315,間,あいだ,"period of time (during, while), between",[sound:JP1K_315_aida_word.mp3]
316,食う,くう,to eat (informal),[sound:JP1K_316_kuu_word.mp3]
317,飯,めし,meal,[sound:JP1K_317_meshi_word.mp3]
318,着く,つく,to arrive,[sound:JP1K_318_tsuku1_word.mp3]
319,話,はなし,"story, conversation",[sound:JP1K_319_hanashi_word.mp3]
320,声,こえ,voice,[sound:JP1K_320_koe_word.mp3]
321,男,おとこ,man,[sound:JP1K_321_otoko_word.mp3]
323,合う,あう,"to fit, to match, to suit",[sound:JP1K_323_au2_word.mp3]
324,通り,とおり,"avenue, street, way, road",[sound:JP1K_324_toori_word.mp3]
326,若い,わかい,young,[sound:JP1K_326_wakai_word.mp3]
327,女,おんな,woman,[sound:JP1K_327_onna_word.mp3]
329,向かう,むかう,"to go towards, to head towards",[sound:JP1K_329_mukau_word.mp3]
330,次,つぎ,next (in sequence),[sound:JP1K_330_tsugi_word.mp3]
331,飛ぶ,とぶ,to fly,[sound:JP1K_331_tobu_word.mp3]
332,打つ,うつ,"to hit, to strike, to knock, to beat",[sound:JP1K_332_utsu_word.mp3]
333,探す,さがす,"to search (for something desired, needed, lost), to look for",[sound:JP1K_333_sagasu_word.mp3]
334,捕まる,つかまる,to be caught,[sound:JP1K_334_tsukamaru_word.mp3]
335,事件,じけん,"incident, affair",[sound:JP1K_335_jiken_word.mp3]
336,逃げる,にげる,"to escape, to run away",[sound:JP1K_336_nigeru_word.mp3]
337,犯人,はんにん,"offender, criminal",[sound:JP1K_337_hannin_word.mp3]
338,現実,げんじつ,"reality, actuality",[sound:JP1K_338_genjitsu_word.mp3]
339,描く,えがく,"to draw, to paint, to sketch",[sound:JP1K_339_egaku_word.mp3]
342,変,へん,strange,[sound:JP1K_342_hen1_word.mp3]
343,様子,ようす,"appearance, condition",[sound:JP1K_343_yousu_word.mp3]
344,見つける,みつける,"to find, to discover",[sound:JP1K_344_mitsukeru_word.mp3]
346,素敵,すてき,"lovely, wonderful",[sound:JP1K_346_suteki_word.mp3]
347,駅,えき,train station,[sound:JP1K_347_eki_word.mp3]
348,食事,しょくじ,meal,[sound:JP1K_348_shokuji_word.mp3]
349,眼鏡,めがね,glasses,[sound:JP1K_349_megane_word.mp3]
350,町,まち,town,[sound:JP1K_350_machi_word.mp3]
352,洗う,あらう,to wash,[sound:JP1K_352_arau_word.mp3]
353,顔,かお,face,[sound:JP1K_353_kao_word.mp3]
354,少し,すこし,"small quantity, little, few",[sound:JP1K_354_sukoshi_word.mp3]
355,使う,つかう,"to use (a thing, method, etc.)",[sound:JP1K_355_tsukau_word.mp3]
356,頼む,たのむ,"to rely on, to entrust to, to request, to order",[sound:JP1K_356_tanomu_word.mp3]
357,違う,ちがう,to differ,[sound:JP1K_357_chigau_word.mp3]
358,空,そら,sky,[sound:JP1K_358_sora_word.mp3]
359,鳥,とり,bird,[sound:JP1K_359_tori_word.mp3]
361,始める,はじめる,"to start, to begin",[sound:JP1K_361_hajimeru_word.mp3]
362,乗る,のる,to ride,[sound:JP1K_362_noru_word.mp3]
363,生活,せいかつ,"living, life (one's daily existence)",[sound:JP1K_363_seikatsu_word.mp3]
364,週間,しゅうかん,week (period of time),[sound:JP1K_364_shuukan_word.mp3]
365,続く,つづく,to continue (without a break),[sound:JP1K_365_tsuduku_word.mp3]
366,赤い,あかい,red,[sound:JP1K_366_akai_word.mp3]
367,着る,きる,to wear clothes (shoulders down),[sound:JP1K_367_kiru1_word.mp3]
368,女の子,おんなのこ,"young woman, girl",[sound:JP1K_368_noonnanoko_word.mp3]
369,泣く,なく,to cry,[sound:JP1K_369_naku_word.mp3]
370,記憶,きおく,memory,[sound:JP1K_370_kioku_word.mp3]
371,失う,うしなう,to lose,[sound:JP1K_371_ushinau_word.mp3]
372,昔,むかし,a long time ago,[sound:JP1K_372_mukashi_word.mp3]
374,無理,むり,"impossible, can't",[sound:JP1K_374_muri_word.mp3]
375,ご飯,はん,"meal, rice",[sound:JP1K_375_gohan_word.mp3]
376,絶対,ぜったい,"absolutely, certainly",[sound:JP1K_376_zettai_word.mp3]
377,怒る,おこる,"to get angry, to scold",[sound:JP1K_377_okoru_word.mp3]
379,倒れる,たおれる,to collapse,[sound:JP1K_379_taoreru_word.mp3]
380,席,せき,seat,[sound:JP1K_380_seki_word.mp3]
381,老人,ろうじん,elderly person,[sound:JP1K_381_roujin_word.mp3]
382,助ける,たすける,"to help, to rescue",[sound:JP1K_382_tasukeru_word.mp3]
383,捨てる,すてる,"to throw away, to discard",[sound:JP1K_383_suteru_word.mp3]
384,所,ところ,place,[sound:JP1K_384_tokoro_word.mp3]
385,静か,しずか,quiet,[sound:JP1K_385_shizuka_word.mp3]
386,夏休み,なつやすみ,summer vacation,[sound:JP1K_386_natsuyasumi_word.mp3]
387,最後,さいご,"final, last",[sound:JP1K_387_saigo_word.mp3]
388,戦う,たたかう,"to fight, to struggle (against adversities, etc.)",[sound:JP1K_388_tatakau_word.mp3]
389,調べる,しらべる,"to look up, to investigate",[sound:JP1K_389_shiraberu_word.mp3]
390,情報,じょうほう,"information, data",[sound:JP1K_390_jouhou_word.mp3]
391,近く,ちかく,"near, shortly",[sound:JP1K_391_chikaku_word.mp3]
392,住む,すむ,to live (of humans),[sound:JP1K_392_sumu1_word.mp3]
393,回る,まわる,"to turn, to revolve",[sound:JP1K_393_mawaru_word.mp3]
394,決まる,きまる,to be decided,[sound:JP1K_394_kimaru_word.mp3]
395,当たる,あたる,"to be hit, to be successful",[sound:JP1K_395_ataru_word.mp3]
396,冗談,じょうだん,joke,[sound:JP1K_396_joudan_word.mp3]
397,付く,つく,"to be attached, to be connected with, to lit (fire, turn on TV)",[sound:JP1K_397_tsuku2_word.mp3]
398,失敗,しっぱい,"failure, mistake, blunder",[sound:JP1K_398_shippai_word.mp3]
399,予定,よてい,"plans, arrangement",[sound:JP1K_399_yotei_word.mp3]
