635,"奈","PHONETIC [NA]","etym.: Chinese crab apple"
636,"宗","RELIGIOUS SECT",
637,"祭","FESTIVAL","worship"
638,"際","VERGE; OCCASION","edge"
639,"察","INSPECT; GUESS","observe; judge"
640,"祈","PRAY",
641,"祖","ANCESTOR",
642,"助","HELP","save"
643,"仲","PERSONAL RELATIONS; INTERMEDIARY",
644,"忠","LOYALTY","faithfulness"
645,"沖","OPEN SEA; OFFING",
646,"保","PRESERVE","maintain, guarantee"
647,"呆","DUMB","…founded"
648,"守","PROTECT","watch over, keep"
649,"団","COLLECTIVE","group, organization"
650,"対","OPPOSITE; OPPOSE","counter to; in relation to"
651,"村","VILLAGE",
652,"才","TALENT; -YEARS OLD",
653,"財","WEALTH","property"
654,"材","TIMBER; MATERIAL",
655,"沈","SINK","submerge"
656,"枕","PILLOW",
657,"丈","STATURE; STOUT","measure"
658,"杖","CANE","staff"
659,"偉","GREAT","eminent"
660,"緯","LATITUDE","woof / weft"
661,"衛","GUARD",
662,"韓","(SOUTH) KOREA",
663,"違","DIFFER; VIOLATE","be wrong"
664,"抱","HOLD","in one's arms"
665,"砲","HEAVY GUN",
666,"泡","BUBBLE","foam"
667,"丹","CINNABAR RED","wholeheartedly"
668,"舟","SMALL BOAT",
669,"船","(LARGE) SHIP",
670,"舶","OCEANGOING SHIP",
671,"般","SORT","kind: of the same category"
672,"搬","CARRY",
673,"盤","DISK; BOARD",
674,"歯","TOOTH",
675,"冷","COLD","printed ≠ written style"
676,"齢","AGE",
677,"少","LITTLE","few"
678,"砂","SAND",
679,"歩","WALK","step"
680,"渉","HAVE RELATIONS WITH",
681,"省","MINISTRY; SAVE; INTROSPECT","cut down, leave out; reflect"
682,"相","ASPECT; MUTUAL; MINISTER","physiognomy"
683,"想","CONCEIVE","think"
684,"称","APPELLATION",
685,"弥","PHONETIC [MI] / [YA]","etym.: relax a bow"
686,"互","RECIPROCAL",
687,"務","DUTY","office, business"
688,"柔","SOFT","supple, yielding, gentle"
689,"軟","SOFT",
690,"軌","TRACK","path"
691,"軒","COUNTER FOR HOUSES; EAVES",
692,"軸","AXLE; AXIS",
693,"較","COMPARE",
694,"庫","STORAGE CHAMBER",
695,"蔵","STORE","-house"
